ref_code,quantity
GP12-01C,0
GP12-01D,0
GP12-08A,6
GP12-08B,0
GP12-08E,0
GP12-09A,4
GP12-09B,4
GP12-09C,0
GP12-10A,0
GP12-10F,0
GP12-11A,8
GP12-11B,0
GP07A,16
GP07B,4
GP08A,8
GP08C,0
GP13A,8
GP13C,0
GP14A,16
GP14B,8
GP14C,0
GP14D,0
GP14F,8
GP15A,6
GP15B,14
GP15C,6
GP16A,36
GP16B,18
GP17A,0
GP18B,0
GP19A,2
GP19B,8
GP19C,0
GP19D,8
GP19G,12
GP19H,24
GP20A,20
GP20B,0
GP24A,20
GP24B,0
GP24PB,6
GP25A,36
GP25B,8
GP25C,64
GP26A,0
GP27A,0
GP28A,0
GP28B,0
GP29A,0
GP29B,0
GP32A,60
GP32B,30
GP33A,0
GP33B,0
GP35A,0
GP35B,0
GP43A,18
GP43B,24
GP45A,48
GP45B,50
LS020D,4
LS023G,4
LS023H,4
LS025J,6
LS025K,6
LS025L,4
LS025M,4
LS028D,0
LS028E,0
LS028F,0
LS028H,4
LS029D,0
LS029E,16
LS029F,16
LS030A,0
LS030C,0
LS030D,0
LS030E,0
LS030F,0
LS032A,4
LS032B,6
LS032C,0
LS032D,0
LS032G,6
LS034C,4
LS034H,0
LS034i,0
LS034J,0
LS036F,4
LS036G,4
LS037D,8
LS037E,8
LS037F,12
LS037G,8
LS037H,4
LS038E,4
LS044A,0
LS044B,4
LS044E,1
LS044F,0
LS047A,0
LS047B,0
LS047C,0
LS047D,0
LS050A,0
LS050B,0
LS050C,0
LS051A,0
LS051B,0
LS051C,0
LS052A,12
LS052B,12
LS052C,12
LS053A,0
LS053B,0
LS053C,0
LS054A,16
LS054B,8
LS054C,6
LS055A,12
LS055B,16
LS055C,12
LS056A,0
LS056B,0
LS056C,0
LS064A,8
LS064B,8
LS065A,6
LS065B,6
LS065C,4
LS068A,8
LS068B,4
LS068C,4
LS069A,12
LS069B,6
LS069C,6
TM12-02D,2
TM12-02E,2
TM12-03A,4
TM12-03B,12
TM12-03C,8
TM12-04B,0
TM12-04D,0
TM12-04F,2
TM12-04G,2
TM12-04L,0
TM12-04P,0
TM12-04Q,6
TM12-04R,4
TM12-10A,20
TM12-12A,12
TM12-12C,8
TM12-12D,4
TM12-12E,4
TM12-13A,14
TM12-14A,4
TM12-14B,4
TM12-17B,4
TM12-17C,4
TM12-18A,2
TM12-18B,12
TM12-19A,30
TM12-19B,4
TM12-19E,4
TM12-21A,0
TM12-21B,0
TM12-21C,0
TM12-23A,12
TM12-23B,4
TM12-23C,4
TM12-27A,0
TM12-27B,0
TM12-27C,0
TM8-01A,6
TMR12-02C,0
TMR12-04A,1
TMR12-04C,9
TMR12-05A,4
TMR12-06A,12
TMR12-06AD,2
TMR12-11A,12
TMR12-11B,8
TMR12-16A,12
TMR12-16AD,0
TMR12-17A,20
TMR12-17B,20
TMR12-18A,12
TMR12-18AD,2
TMR12-18E,2
TOP033A,2
TOP047C,0
TOP048A,0
TOP051A,6
TOP051B,2
TOP051C,6
TOP052A,10
TOP052B,6
TOP052C,12
TOP055C,0
TOP056A,4
TOP065A,8
TOP065B,8
TOP065C,12
TOP066C,12
TOP067A,20
TOP067B,12
TOP068A,0
TOP068B,0
TOP068D,0
TOP083A,18
TOPSET06,12
TOP084A,24
TOP084B,16
TOP086A,4
TOP086B,4
TOP086C,4
TOP088B,0
TOP090A,0
TOP090C,0
TOP095D,0
TOP095E,0
TOP095F,0
TOP098A,0
TOP098E,0
