ref_code,quantity
LS016A,10
LS016B,15
LS016C,28
LS020A,3
LS025A,3
LS025C,2
LS025G,2
LS029D,4
LS029E,8
LS029F,12
LS030E,4
LS031C,2
LS031D,1
LS032C,2
LS033C,6
LS034E,7
LS036D,11
LS036E,27
LS038D,3
LS039A,19
LS039B,4
LS040A,12
LS040B,8
LS040C,8
LS042A,30
LS042B,18
LS042C,40
LS043A,32
LS043B,2
LS043C,20
LS044B,5
LS044C,7
LS044E,1
LS057A,20
LS057B,24
LS057C,28
TOP033D,20
TOP033E,13
TOP033F,12
TOP034CD,2
TOP034H,2
TOP036B,27
TOP037B,20
TOP039B,5
TOP039C,1
TOP039D,10
TOP039E,1
TOP039F,10
TOP046B,4
TOP047A,12
TOP047B,10
TOP047C,6
TOP047D,5
TOP048A,19
TOP053D,6
TOP055A,21
TOP055B,23
TOP055C,24
TOP068A,20
TOP068B,12
TOP068C,20
TOP068D,15
TOP083B,3
TOP084A,58
TOP084B,20
TOP085B,15
TOP089B,6
TOP090A,0
TOP090C,0
TOP094A,6
TOP095D,10
TOP095E,11
TOP095F,14
TOP096A,31
TOP096B,8
TOP096C,16
TOP098A,97
TOP098B,31
TOP098C,18
TOP098E,16
TOPSET002,2
TOP034A,2
TOP044A,2
TM1201C,2
TM1201D,1
TM1201E,2
TM1201K,9
TM1202C,6
TM1202K,10
TM1204A,3
TM1204F,4
TM1204G,2
TM1217A,2
TM1217E,11
TM1219A,104
TM1219B,48
TM1219E,48
TMPD01A,9
TMPD01AD,6
TMPD03A,2
TMPD03AD,10
TMPD03CD,8
TMPD03D,1
TMPD03DD,13
TMPD04A,44
TMPD04B,24
TMR1201AD,2
TMR1201AN,9
TMR1201C,1
TMR1202A,2
TMR1202AD,2
TMR1202AW,10
TMR1203A,4
TMR1204A,1
TMR1204BD,1
TMR1214A,14
GP002D,1
GP002E,7
GP006B,1
GP008B,6
GP008C,17
GP013B,4
GP013C,33
GP014A,1
GP014B,1
GP014C,1
GP014D,1
GP014E,1
GP014F,1
GP017A,1
GP017B,3
GP018A,1
GP018B,9
GP019A,1
GP019B,4
GP020A,1
GP020B,1
GP024A,64
GP024B,36
GP025A,1
GP025B,1
GP026A,38
GP026B,9
GP028A,1
GP028B,1
GP030A,22
GP030B,1
GP031A,16
GP031B,11
GP033A,13
GP033B,3
GP035A,2
GP035B,1
GP045A,144
GP045B,176
GP1201C,1
GP1201D,3
GP1205B,6
GP1208D,1
GP1210A,8
GP1210E,8
GP1210F,5
GP1210G,7
GP1210H,13
GP1211A,1
GP1211B,1
GP1216A,21
GP1216B,1
